Sample,Host,Symbiodinium,ITS 2 type,Population,Sym09,Sym09,Sym11,Sym11,Sym14,Sym14,Sym17,Sym17,Sym67,Sym67,Sym92,Sym92,Sym87,Sym87,Sym88,Sym88,Sym66,Sym66
BB07_283,Pocillopora,S. glynnii,D1,BB,102,102,151,151,177,177,0,0,143,143,128,128,250,250,230,230,0,0
BB07_285,Pocillopora,S. glynnii,D1,BB,105,105,149,149,177,177,157,157,140,140,128,128,250,250,230,230,0,0
BB07_286,Pocillopora,S. glynnii,D1,BB,105,105,155,155,177,177,157,157,131,131,128,128,250,250,230,230,0,0
BB07_29,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_291,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,140,140,128,128,254,254,230,230,0,0
BB07_298,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,165,165,143,143,128,128,254,254,230,230,0,0
BB07_300,Pocillopora,S. glynnii,D1,BB,105,105,157,157,177,177,155,155,131,131,128,128,250,250,230,230,0,0
BB07_302,Pocillopora,S. glynnii,D1,BB,105,105,149,149,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BB07_31,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,254,254,230,230,0,0
BB07_33,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_34,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_35,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,143,143,128,128,254,254,230,230,0,0
BB07_36,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_37,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_38,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_39,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_4,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,167,167,143,143,128,128,246,246,230,230,0,0
BB07_40,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,151,151,140,140,128,128,254,254,230,230,0,0
BB07_41,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_43,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_44,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,254,254,230,230,0,0
BB07_45,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_47,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_48,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BB07_50,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,137,137,128,128,246,246,230,230,0,0
BB07_51,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_52,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,143,143,128,128,254,254,230,230,0,0
BB07_54,Pocillopora,S. glynnii,D1,BB,111,111,151,151,177,177,169,169,143,143,128,128,246,246,230,230,0,0
BB07_55,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_56,Pocillopora,S. glynnii,D1,BB,105,105,149,149,177,177,155,155,137,137,128,128,254,254,230,230,0,0
BB07_57,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_58,Pocillopora,S. glynnii,D1,BB,105,105,149,149,177,177,157,157,137,137,128,128,254,254,230,230,0,0
BB07_6,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,169,169,143,143,128,128,246,246,230,230,0,0
BB07_60,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,254,254,230,230,0,0
BB07_61,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,254,254,230,230,0,0
BB07_62,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_63,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,143,143,128,128,250,250,230,230,0,0
BB07_64,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_65,Pocillopora,S. glynnii,D1,BB,111,111,151,151,177,177,165,165,143,143,128,128,246,246,230,230,0,0
BB07_67,Pocillopora,S. glynnii,D1,BB,105,105,149,149,177,177,155,155,137,137,128,128,254,254,230,230,0,0
BB07_70,Pocillopora,S. glynnii,D1,BB,111,111,0,0,177,177,167,167,143,143,128,128,246,246,230,230,0,0
BB07_71,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,140,140,128,128,254,254,230,230,0,0
BB07_74,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_75,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_76,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_77,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,163,163,146,146,128,128,250,250,230,230,0,0
BB07_78,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_79,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_82,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BB07_85,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BB07_86,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,165,165,143,143,128,128,254,254,230,230,0,0
BB07_87,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,140,140,132,132,254,254,230,230,0,0
BB07_89,Pocillopora,S. glynnii,D1,BB,105,105,149,149,177,177,153,153,146,146,128,128,258,258,230,230,0,0
BB07_9,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,169,169,143,143,128,128,246,246,230,230,0,0
BB07_90,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,132,132,254,254,230,230,0,0
BB07_91,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BB07_92,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BB07_94,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,157,157,140,140,128,128,250,250,230,230,0,0
BB07_95,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BB07_97,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BB07_98,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,137,137,128,128,254,254,230,230,0,0
BB07_99,Pocillopora,S. glynnii,D1,BB,102,102,0,0,177,177,0,0,143,143,128,128,250,250,230,230,0,0
BSA08_10,Pocillopora,S. glynnii,D1,Oax,105,105,155,155,177,177,153,153,143,143,128,128,242,242,230,230,0,0
BSA08_100,Pocillopora,S. glynnii,D1,Oax,108,108,0,0,177,177,153,153,143,143,128,128,246,246,230,230,0,0
BSA08_101,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,155,155,143,143,128,128,250,250,230,230,0,0
BSA08_104,Pocillopora,S. glynnii,D1,Oax,108,108,151,151,177,177,155,155,143,143,128,128,246,246,230,230,0,0
BSA08_11,Pocillopora,S. glynnii,D1,Oax,105,105,155,155,177,177,153,153,143,143,128,128,242,242,230,230,0,0
BSA08_110,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_111,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_113,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_114,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_115,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,254,254,230,230,0,0
BSA08_117,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_118,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_12,Pocillopora,S. glynnii,D1,Oax,105,105,155,155,177,177,153,153,143,143,128,128,242,242,230,230,0,0
BSA08_120,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_123,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_126,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,134,134,128,128,250,250,230,230,0,0
BSA08_127,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,254,254,230,230,0,0
BSA08_129,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,254,254,230,230,0,0
BSA08_13,Pocillopora,S. glynnii,D1,Oax,108,108,155,155,179,179,153,153,143,143,128,128,250,250,230,230,0,0
BSA08_130,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_131,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_135,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_14,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BSA08_142,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_144,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,163,163,143,143,128,128,250,250,230,230,0,0
BSA08_15,Pocillopora,S. glynnii,D1,Oax,105,105,0,0,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BSA08_157,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_16,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,157,157,140,140,132,132,250,250,230,230,0,0
BSA08_161,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_162,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,246,246,230,230,0,0
BSA08_19,Pocillopora,S. glynnii,D1,Oax,105,105,155,155,177,177,149,149,143,143,128,128,242,242,230,230,0,0
BSA08_20,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,254,254,230,230,0,0
BSA08_21,Pocillopora,S. glynnii,D1,Oax,105,105,155,155,177,177,151,151,143,143,128,128,242,242,230,230,0,0
BSA08_22,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BSA08_23,Pocillopora,S. glynnii,D1,Oax,105,105,155,155,177,177,149,149,143,143,128,128,242,242,230,230,0,0
BSA08_24,Pocillopora,S. glynnii,D1,Oax,105,105,155,155,177,177,149,149,143,143,128,128,242,242,230,230,0,0
BSA08_27,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,175,175,167,167,146,146,128,128,266,266,230,230,0,0
BSA08_28,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,155,155,143,143,128,128,254,254,230,230,0,0
BSA08_29,Pocillopora,S. glynnii,D1,Oax,105,105,153,153,177,177,153,153,146,146,128,128,246,246,230,230,0,0
BSA08_31,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BSA08_33,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BSA08_34,Pocillopora,S. glynnii,D1,Oax,105,105,153,153,177,177,153,153,146,146,128,128,246,246,230,230,0,0
BSA08_35,Pocillopora,S. glynnii,D1,Oax,105,105,159,159,179,179,151,151,140,140,128,128,254,254,230,230,0,0
BSA08_38,Pocillopora,S. glynnii,D1,Oax,105,105,153,153,177,177,0,0,143,143,128,128,246,246,230,230,0,0
BSA08_42,Pocillopora,S. glynnii,D1,Oax,105,105,153,153,177,177,153,153,143,143,128,128,246,246,230,230,0,0
BSA08_48,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,155,155,140,140,128,128,254,254,230,230,0,0
BSA08_50,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,159,159,143,143,128,128,242,242,230,230,0,0
BSA08_52,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BSA08_53,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,157,157,143,143,132,132,250,250,230,230,0,0
BSA08_55,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BSA08_58,Pocillopora,S. glynnii,D1,Oax,108,108,157,157,179,179,155,155,143,143,128,128,250,250,230,230,0,0
BSA08_59,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BSA08_60,Pocillopora,S. glynnii,D1,Oax,108,108,157,157,179,179,155,155,143,143,128,128,250,250,230,230,0,0
BSA08_62,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BSA08_63,Pocillopora,S. glynnii,D1,Oax,108,108,153,153,179,179,155,155,143,143,128,128,250,250,230,230,0,0
BSA08_65,Pocillopora,S. glynnii,D1,Oax,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
