Sample,Region,Location,Host,Sym9,,Sym11,,Sym14,,Sym17,,Sym34,,Sym66,,Sym93,,Sym92,,Sym67,,Sym82,,Sym87,,Sym88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HER_25,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP_5,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP_6,CAR,Barbados,Diploria clivosa,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB_23,CAR,Barbados,Palythoa caribaeorum,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB_32,CAR,Barbados,Orbicella faveolata,106,109,151,153,177,179,141,143,387,389,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB_36,CAR,Barbados,Orbicella faveolata,106,109,151,153,177,179,141,143,387,389,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB_45,CAR,Barbados,Diploria labyrinthiformis,106,109,151,153,177,177,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB_46,CAR,Barbados,Siderastrea radians,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_204,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_205,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_206,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_212,CAR,Curaçao,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_213,CAR,Curaçao,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_214,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,237,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_216,CAR,Curaçao,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_219,CAR,Curaçao,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_221,CAR,Curaçao,Siderastrea siderea,106,109,0,0,0,0,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_224,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_227,CAR,Curaçao,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_230,CAR,Curaçao,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_231,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,377,377,294,294,151,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_232,CAR,Curaçao,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_249,CAR,Curaçao,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_250,CAR,Curaçao,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_251,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,124,128,131,131,234,246,240,244,232,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_252,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,157,128,128,131,131,240,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_253,CAR,Curaçao,Orbicella annularis,106,109,0,0,177,177,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_256,CAR,Curaçao,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
