Sample,pS.trenchii,pS.glynnii
G_355,0.017456286,0.982543714
G_356,0.017056186,0.982943814
G_459,0.018572021,0.981427979
GAV1_1,0.022464162,0.977535838
GAV1_10,0.021766212,0.978233788
GAV1_11,0.022464162,0.977535838
GAV1_12,0.022100713,0.977899287
GAV1_15,0.022464162,0.977535838
GAV1_16,0.022100713,0.977899287
GAV1_3,0.022464162,0.977535838
GAV1_4,0.018572021,0.981427979
GAV1_5,0.018572021,0.981427979
GAV1_6,0.017351672,0.982648328
GAV1_7,0.017056186,0.982943814
GAV1_8,0.017056186,0.982943814
GAV2_1,0.017056186,0.982943814
GAV2_11,0.01889161,0.98110839
GAV2_12,0.022464162,0.977535838
GAV2_14,0.017056186,0.982943814
GAV2_15,0.018690296,0.981309704
GAV2_16,0.021616079,0.978383921
GAV2_18,0.017456286,0.982543714
GAV2_2,0.017456286,0.982543714
GAV2_5,0.025984056,0.974015944
GAV2_6,0.017456286,0.982543714
GAV2_7,0.019745765,0.980254235
GAV2_8,0.021766212,0.978233788
GAV2_9,0.017456286,0.982543714
GAV3_1,0.022100713,0.977899287
GAV3_10,0.017456286,0.982543714
GAV3_11,0.017456286,0.982543714
GAV3_12,0.018572021,0.981427979
GAV3_14,0.018572021,0.981427979
GAV3_16,0.021616079,0.978383921
GAV3_18,0.033000972,0.966999028
GAV3_19,0.022100713,0.977899287
GAV3_2,0.017456286,0.982543714
GAV3_20,0.022464162,0.977535838
GAV3_21,0.017456286,0.982543714
GAV3_22,0.017456286,0.982543714
GAV3_3,0.018572021,0.981427979
GAV3_5,0.017056186,0.982943814
GAV3_6,0.025577452,0.974422548
GAV3_7,0.017456286,0.982543714
GAV3_8,0.022100713,0.977899287
GAV3_9,0.022464162,0.977535838
Haw02_106,0.083030477,0.916969523
Haw02_107,0.050161663,0.949838337
Haw02_14,0.152564958,0.847435042
LAP08_107,0.024652721,0.975347279
LAP08_108,0.024652721,0.975347279
LAP08_109,0.024652721,0.975347279
LAP08_110,0.024652721,0.975347279
LAP08_111,0.024652721,0.975347279
LAP08_112,0.024652721,0.975347279
LAP08_113,0.024652721,0.975347279
LAP08_114,0.024652721,0.975347279
LAP08_115,0.024652721,0.975347279
